normalized_country,geographic_region,sub_region,temperature_celsius,latitude,longitude,humidity,pressure_mb
Pakistan,Asia,Western & Central Asia,30.07,33.7,73.17,33.58,1005.8
Palau,Oceania,Oceania,27.99,7.35,134.45,82.82,1008.93
Panama,North America,Central America,25.59,8.97,-79.53,90.72,1010.02
Papua New Guinea,Oceania,Oceania,26.53,-9.46,147.19,84.82,1009.02
Paraguay,South America,Southern South America,20.28,-19.45,-61.15,63.6,1012.77
Peru,South America,Southern South America,17.17,-12.05,-77.05,84.23,1013.39
Philippines,Asia,South & Southeast Asia,29.84,14.6,120.98,74.71,1008.23
Poland,Europe,Eastern Europe,15.2,52.25,21.0,63.49,1016.72
Portugal,Europe,Southern Europe,18.72,38.72,-9.13,73.03,1017.64
Qatar,Asia,Western & Central Asia,34.66,25.29,51.53,36.68,1006.07
Republic of the Congo,Africa,Central Africa,27.45,-4.26,15.28,68.86,1014.4
Romania,Europe,Southern Europe,19.51,44.43,26.1,52.66,1017.62
Russia,Asia,Northern Asia,13.45,55.75,37.62,63.45,1015.14
Rwanda,Africa,Central Africa,24.92,-1.95,30.06,53.27,1020.08
Saint Kitts and Nevis,Caribbean,Caribbean,27.1,17.3,-62.72,78.77,1014.66
Saint Lucia,Caribbean,Caribbean,27.29,14.0,-61.0,80.75,1013.51
Saint Vincent and the Grenadines,Caribbean,Caribbean,27.58,13.13,-61.22,76.3,1013.3
Samoa,Oceania,Oceania,25.6,-13.83,-171.73,87.26,1011.95
San Marino,Europe,Southern Europe,19.6,43.93,12.45,65.64,1016.21
Saudi Arabia,Asia,Western & Central Asia,34.29,24.64,46.77,14.14,1011.28
Senegal,Africa,Central Africa,25.44,14.67,-17.44,75.32,1012.89
Serbia,Europe,Southern Europe,18.95,44.8,20.47,56.37,1017.59
Seychelles,Africa,Central Africa,28.67,-4.62,55.45,75.21,1010.62
Sierra Leone,Africa,Central Africa,26.33,8.49,-13.23,80.31,1013.05
Singapore,Asia,South & Southeast Asia,29.51,1.29,103.86,70.81,1008.2
Slovakia,Europe,Eastern Europe,16.45,48.15,17.12,61.92,1017.71
Slovenia,Europe,Eastern Europe,16.38,46.06,14.51,67.93,1017.96
Solomon Islands,Oceania,Oceania,26.66,-9.43,159.95,87.54,1009.93
Somalia,Africa,Central Africa,28.89,2.07,45.37,74.57,1012.45
South Africa,Africa,Southern Africa,21.45,-25.75,28.19,42.01,1023.47
South Korea,Asia,East Asia,18.31,37.57,127.0,66.67,1013.35
Spain,Europe,Southern Europe,18.85,40.4,-3.68,54.8,1018.62
Sri Lanka,Asia,South & Southeast Asia,29.98,6.93,79.85,75.31,1008.13
Sudan,Africa,Central Africa,29.9,12.15,24.45,31.96,1011.9
Sudan,Africa,Northern Africa,32.99,15.59,32.53,26.26,1010.16
Suriname,South America,Northern South America,24.64,5.83,-55.17,92.13,1012.14
Sweden,Europe,Eastern Europe,12.64,59.33,18.05,68.38,1013.12
Switzerland,Europe,Western Europe,14.07,46.92,7.47,72.54,1018.2
Syria,Asia,Western & Central Asia,25.62,33.5,36.3,31.12,1013.31
Tajikistan,Asia,Western & Central Asia,25.23,38.56,68.77,33.15,1014.25
Tanzania,Africa,Eastern Africa,26.25,-6.18,35.75,46.7,1017.05
Thailand,Asia,South & Southeast Asia,30.85,18.78,100.78,62.85,1006.77
Timor-Leste,Asia,South & Southeast Asia,26.07,-8.56,125.57,75.58,1010.05
Togo,Africa,Central Africa,27.9,6.13,1.22,74.0,1011.0
Tonga,Oceania,Oceania,23.15,-21.13,-175.2,87.89,1015.63
Trinidad and Tobago,Caribbean,Caribbean,25.65,10.65,-61.52,88.83,1012.44
Tunisia,Africa,Northern Africa,24.82,36.8,10.18,56.83,1016.67
Turkey,Asia,Western & Central Asia,20.67,39.55,27.62,49.18,1015.8
Turkmenistan,Asia,Western & Central Asia,25.7,37.95,58.38,34.16,1014.17
Tuvalu,Oceania,Oceania,28.67,-8.52,179.22,82.29,1009.84
Uganda,Africa,Central Africa,26.04,0.32,32.57,61.03,1015.68
Ukraine,Europe,Eastern Europe,16.22,50.43,30.52,52.03,1017.4
United Arab Emirates,Asia,Western & Central Asia,34.41,24.47,54.37,41.43,1005.59
United Kingdom,Europe,Western Europe,14.07,51.52,-0.11,74.06,1016.23
United States,North America,Central America,24.92,39.53,-111.59,59.5,1013.25
United States,North America,Northern North America,9.3,46.6,-120.49,89.19,1017.25
Uruguay,South America,Southern South America,13.4,-34.86,-56.17,87.27,1017.32
Uzbekistan,Asia,Western & Central Asia,24.9,41.32,69.25,30.38,1014.29
Vanuatu,Oceania,Oceania,24.1,-17.73,168.32,88.74,1012.89
Vatican,Europe,Southern Europe,21.83,41.9,12.45,60.15,1015.91
Venezuela,South America,Northern South America,23.36,10.5,-66.92,82.26,1013.35
Vietnam,Asia,South & Southeast Asia,27.28,21.03,105.85,69.76,1008.13
Yemen,Asia,Western & Central Asia,23.89,15.35,44.21,23.05,1012.32
Zambia,Africa,Southern Africa,25.21,-15.42,28.28,39.44,1015.75
Zimbabwe,Africa,Southern Africa,23.97,-17.82,31.04,34.79,1016.89
